relative_path,category
images_processed/Road/damaged_roads/000158.jpg,Road
images_processed/Road/damaged_roads/000162.jpg,Road
images_processed/Road/damaged_roads/000022.jpg,Road
images_processed/Road/damaged_roads/000177.jpg,Road
images_processed/Road/damaged_roads/000150.jpg,Road
images_processed/Road/damaged_roads/000146.jpg,Road
images_processed/Road/damaged_roads/000109.jpg,Road
images_processed/Road/damaged_roads/000163.jpg,Road
images_processed/Road/damaged_roads/000111.jpg,Road
images_processed/Road/damaged_roads/000164.jpg,Road
images_processed/Road/damaged_roads/000131.jpg,Road
images_processed/Road/damaged_roads/000074.jpg,Road
images_processed/Road/damaged_roads/000095.jpg,Road
images_processed/Road/damaged_roads/000205.jpg,Road
images_processed/Road/damaged_roads/000151.jpg,Road
images_processed/Road/damaged_roads/000045.jpg,Road
images_processed/Road/damaged_roads/000155.jpg,Road
images_processed/Road/damaged_roads/000184.jpg,Road
images_processed/Road/damaged_roads/000134.jpg,Road
images_processed/Road/damaged_roads/000202.jpg,Road
images_processed/Road/damaged_roads/000042.jpg,Road
images_processed/Road/damaged_roads/000091.jpg,Road
images_processed/Road/damaged_roads/000130.jpg,Road
images_processed/Road/damaged_roads/000139.jpg,Road
images_processed/Road/damaged_roads/000170.jpg,Road
images_processed/Road/damaged_roads/000100.jpg,Road
images_processed/Road/damaged_roads/000160.jpg,Road
images_processed/Road/damaged_roads/000192.jpg,Road
images_processed/Road/damaged_roads/000038.jpg,Road
images_processed/Road/damaged_roads/000208.jpg,Road
images_processed/Road/damaged_roads/000039.jpg,Road
images_processed/Road/damaged_roads/000050.jpg,Road
images_processed/Road/damaged_roads/000004.jpg,Road
images_processed/Road/damaged_roads/000031.jpg,Road
images_processed/Road/damaged_roads/000075.jpg,Road
images_processed/Road/damaged_roads/000161.jpg,Road
images_processed/Road/damaged_roads/000183.jpg,Road
images_processed/Road/damaged_roads/000060.jpg,Road
images_processed/Road/damaged_roads/000026.jpg,Road
images_processed/Road/damaged_roads/000182.jpg,Road
images_processed/Road/damaged_roads/000190.jpg,Road
images_processed/Road/damaged_roads/000124.jpg,Road
images_processed/Road/damaged_roads/000133.jpg,Road
images_processed/Road/damaged_roads/000036.jpg,Road
images_processed/Road/damaged_roads/000135.jpg,Road
images_processed/Road/damaged_roads/000115.jpg,Road
images_processed/Road/damaged_roads/000078.jpg,Road
images_processed/Road/damaged_roads/000200.jpg,Road
images_processed/Road/damaged_roads/000084.jpg,Road
images_processed/Road/damaged_roads/000114.jpg,Road
images_processed/Road/damaged_roads/000011.jpg,Road
images_processed/Road/damaged_roads/000112.jpg,Road
images_processed/Road/damaged_roads/000097.jpg,Road
images_processed/Road/damaged_roads/000129.jpg,Road
images_processed/Road/damaged_roads/000062.jpg,Road
images_processed/Road/damaged_roads/000118.jpg,Road
images_processed/Road/damaged_roads/000034.jpg,Road
images_processed/Road/damaged_roads/000005.jpg,Road
images_processed/Road/damaged_roads/000037.jpg,Road
images_processed/Road/damaged_roads/000149.jpg,Road
images_processed/Road/damaged_roads/000173.jpg,Road
images_processed/Road/damaged_roads/000196.jpg,Road
images_processed/Road/damaged_roads/000218.jpg,Road
images_processed/Road/damaged_roads/000143.jpg,Road
images_processed/Road/damaged_roads/000204.jpg,Road
images_processed/Road/damaged_roads/000106.jpg,Road
images_processed/Road/damaged_roads/000128.jpg,Road
images_processed/Road/damaged_roads/000051.jpg,Road
images_processed/Road/damaged_roads/000033.jpg,Road
images_processed/Road/damaged_roads/000147.jpg,Road
images_processed/Road/damaged_roads/000059.jpg,Road
images_processed/Road/damaged_roads/000028.jpg,Road
images_processed/Road/damaged_roads/000154.jpg,Road
images_processed/Road/damaged_roads/000165.jpg,Road
images_processed/Road/damaged_roads/000209.jpg,Road
images_processed/Road/damaged_roads/000020.jpg,Road
images_processed/Road/damaged_roads/000021.jpg,Road
images_processed/Road/damaged_roads/000105.jpg,Road
images_processed/Road/damaged_roads/000013.jpg,Road
images_processed/Road/damaged_roads/000144.jpg,Road
images_processed/Road/damaged_roads/000080.jpg,Road
images_processed/Road/damaged_roads/000077.jpg,Road
images_processed/Road/damaged_roads/000108.jpg,Road
images_processed/Road/damaged_roads/000199.jpg,Road
images_processed/Road/damaged_roads/000053.jpg,Road
images_processed/Road/damaged_roads/000110.jpg,Road
images_processed/Road/damaged_roads/000217.jpg,Road
images_processed/Road/damaged_roads/000048.jpg,Road
images_processed/Road/damaged_roads/000040.jpg,Road
images_processed/Road/damaged_roads/000056.jpg,Road
images_processed/Road/damaged_roads/000076.jpg,Road
images_processed/Road/damaged_roads/000142.jpg,Road
images_processed/Road/damaged_roads/000086.jpg,Road
images_processed/Road/damaged_roads/000181.jpg,Road
images_processed/Road/damaged_roads/000014.jpg,Road
images_processed/Road/damaged_roads/000219.jpg,Road
images_processed/Road/damaged_roads/000107.jpg,Road
images_processed/Road/damaged_roads/000127.jpg,Road
images_processed/Road/damaged_roads/000041.jpg,Road
images_processed/Road/damaged_roads/000102.jpg,Road
images_processed/Road/damaged_roads/000152.jpg,Road
images_processed/Road/damaged_roads/000057.jpg,Road
images_processed/Road/damaged_roads/000069.jpg,Road
images_processed/Road/damaged_roads/000090.jpg,Road
images_processed/Road/damaged_roads/000081.jpg,Road
images_processed/Road/damaged_roads/000017.jpg,Road
images_processed/Road/damaged_roads/000066.jpg,Road
images_processed/Road/damaged_roads/000006.jpg,Road
images_processed/Road/damaged_roads/000185.jpg,Road
images_processed/Road/damaged_roads/000073.jpg,Road
images_processed/Road/damaged_roads/000203.jpg,Road
images_processed/Road/damaged_roads/000055.jpg,Road
images_processed/Road/damaged_roads/000215.jpg,Road
images_processed/Road/damaged_roads/000137.jpg,Road
images_processed/Road/damaged_roads/000071.jpg,Road
images_processed/Road/damaged_roads/000029.jpg,Road
images_processed/Road/damaged_roads/000096.jpg,Road
images_processed/Road/damaged_roads/000046.jpg,Road
images_processed/Road/damaged_roads/000003.jpg,Road
images_processed/Road/damaged_roads/000211.jpg,Road
images_processed/Road/damaged_roads/000197.jpg,Road
images_processed/Road/damaged_roads/000193.jpg,Road
